source,source_label,season,season_label,case,case_label,aperture_diameter_mm,aperture_area_m2,mean_irradiance_kw_m2,power_w,cell_count,center_x_mm,center_y_mm,center_source
simulation,Simulated,01,Winter,SEC,With secondary,9.403607462753987,3.433943450263285e-05,126.25882839935602,4.335656768198847,38155,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,9.153250937956605,3.3575335960037245e-05,129.131633088246,4.335637964006121,37306,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,8.909559768955576,3.272843757537003e-05,132.47197385530825,4.335600726809507,36365,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,8.672356500947501,3.180233934176476e-05,136.32761126640457,4.335536955146391,35336,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,8.441468403589019,3.077454130213675e-05,140.87832336750355,4.335465781049015,34194,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,8.216727345215384,2.9766543224743257e-05,145.6451812026548,4.335353581744388,33074,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,7.997969670407752,2.8771145123317178e-05,150.67840813508664,4.3351903474049935,31968,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,7.7850360808200145,2.7786547001291747e-05,156.01205782995342,4.335036377660247,30874,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,7.577771519178517,2.6846948793435667e-05,161.46877083141473,4.33494382224999,29830,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,7.376025056370023,2.5918150564980234e-05,167.25125286678758,4.334843153982982,28798,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,7.179649781535824,2.496775237772351e-05,173.61186471297916,4.334698047988498,27742,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,6.98850269509191,2.4053354121802267e-05,180.20555591187008,4.334548051064449,26726,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,6.802444604597349,2.3155155834981994e-05,187.18550819546456,4.334309612316281,25728,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,6.6213400233949535,2.2246157568761075e-05,194.81511051065206,4.333887645195568,24718,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,6.445057071950533,2.134435928880725e-05,203.0241755754246,4.333420947795748,23716,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,6.273467381818808,2.043896101571988e-05,211.99409894454143,4.332939123890146,22710,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,6.106446002166069,1.954256272546638e-05,221.6862464140761,4.332317375920279,21714,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,5.94387130878159,1.857776456567546e-05,233.1552057283945,4.33150251928374,20642,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,5.785624915511397,1.760846641446761e-05,245.92944333018676,4.330440343208309,19565,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,5.631591588050025,1.6649068244377017e-05,260.01438169877673,4.328997185422428,18499,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,5.481659160027394,1.5786869888892226e-05,274.1113076143907,4.327359548382499,17541,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,5.335718451329805,1.4957071471609365e-05,289.1924076059479,4.32547150960895,16619,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,5.193663188595449,1.4179472954762955e-05,304.91269427343803,4.32350130201412,15755,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,5.05538992782664,1.3432474379551704e-05,321.7076535517197,4.321329814039171,14925,-0.04499999999999993,-0.1049999499320986,encircled aperture center
simulation,Simulated,01,Winter,SEC,With secondary,4.920797979062361,1.2708875759708517e-05,339.83840531777986,4.318964071561131,14121,-0.04499999999999993,-0.1049999499320986,encircled aperture center
